restaurant,item,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,total_carb,fiber,sugar,vit_a,vit_c
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,1270,141,24,2,475,103,2,3,0,2
Mcdonalds,40 piece Chicken McNuggets,960,107,18,0.5,295,105,7,1,0,15
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,600,66,10,0,265,156,5,87,8,40
Burger King,American Brewhouse King,1134,126,47,8,805,21,3,7,0,0
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,790,88,15,1,295,64,1,2,0,2
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,900,100,17,0,190,69,4,10,0,0
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),830,92,36,4,260,44,2,7,15,6
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,590,66,11,1,120,121,12,4,2,0
Burger King,Rodeo King,738,82,31,3.5,230,69,3,14,0,0
Sonic,Super Sonic Double Cheeseburger W/ Mayo,780,87,34,4,245,45,2,8,15,8
Burger King,Farmhouse King,720,80,28,3,335,62,0,15,0,0
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,630,70,12,1,240,52,1,4,0,0
Sonic,5 Piece Super Crunch Chicken Strip Dinner,510,57,10,1,90,126,8,9,2,8
Subway,Footlong Big Hot Pastrami,620,62,22,0,170,94,10,14,20,90
Subway,Footlong Chicken & Bacon Ranch Melt,500,56,20,2,190,94,10,16,30,50
Subway,Footlong Carved Turkey & Bacon w/ Cheese,460,52,14,0,140,92,10,16,20,40
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,680,76,32,4,235,47,2,11,20,10
Mcdonalds,Double Bacon Smokehouse Burger,600,67,27,3,220,63,3,18,10,20
Sonic,Super Sonic Double Cheeseburger W/ Mustard,680,76,32,4,235,44,2,8,15,8
Sonic,Super Sonic Jalapeno Double Cheeseburger,680,76,32,4,235,43,2,7,15,2
Burger King,Steakhouse King,666,74,24,1,180,59,0,13,0,0
Burger King,BBQ Bacon King,675,75,29,3,220,51,0,13,0,0
Subway,Footlong Italian Hero,520,58,20,0,150,94,10,18,20,40
Sonic,4 Piece Super Crunch Chicken Strip Dinner,460,51,9,1,75,118,8,9,1,7
Dairy Queen,Large Cheese Curds,670,75,43,1,180,52,0,30,0,0
Burger King,Bacon King,630,48,28,2.5,220,48,1,10,0,0
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,480,53,9,1,80,105,9,4,2,0
Arbys,Triple Decker Sandwich,459,51,17,1,155,83,5,19,0,0
Burger King,Bacon & Swiss Sourdough King,585,65,24,3,200,48,2,8,0,0
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,660,74,26,2,170,40,2,9,25,8
Subway,Footlong Big Philly Cheesesteak,300,34,18,2,170,102,12,16,30,40
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,550,61,12,0.5,125,70,5,12,0,0
Burger King,DOUBLE WHOPPER w/ Cheese,580,65,24,2,160,53,3,11,0,0
Burger King,Jalapeno King Sandwich,585,65,24,3,205,46,2,7,0,0
Arbys,Ultimate BLT,495,55,14,0,85,80,6,19,0,0
Subway,Footlong Turkey Italiano Melt (with Provolone),420,48,18,2,100,94,10,16,20,40
Burger King,Sourdough King Double,549,61,24,3,205,52,2,12,0,0
Sonic,3 Piece Super Crunch Chicken Strip Dinner,410,46,8,1,55,109,7,9,1,6
Chick Fil-A,30 piece Chicken Nuggets,414,46,2.5,0,285,35,4,1,0,20
Subway,Footlong Meatball Marinara,320,36,14,2,60,118,16,24,50,70
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,360,40,6,0,160,94,3,52,4,25
Subway,Footlong Spicy Italian,440,48,18,2,100,92,10,16,16,40
Burger King,20 Piece Chicken Nuggets,500,55,11,0,130,50,5,0,0,0
Subway,Footlong Tuna,420,48,8,0,60,88,10,12,16,40
Burger King,Mushroom & Swiss King,567,63,21,2.5,175,45,0,8,0,0
Subway,Footlong Corned Beef Reuben,260,30,9,0,170,90,14,24,20,70
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,410,45,12,0.5,120,81,4,18,6,20
Subway,Footlong Chicken Pizziola Melt,280,32,12,0,160,98,12,18,30,60
Dairy Queen,Steak Finger Basket,430,48,13,0.5,45,95,5,2,0,0
Burger King,DOUBLE WHOPPER w/o Cheese,510,57,19,2,140,51,3,11,0,0
Burger King,Double Quarter Pound King,486,54,25,3,210,50,2,11,0,0
Mcdonalds,20 Piece Chicken McNuggets,480,53,9,0,145,53,4,0,0,8
Taco Bell,XXL Grilled Stuft Burrito - Beef,380,42,14,1,75,94,12,6,0,0
Sonic,Sonic Bacon Cheeseburger (w/mayo),530,59,20,2,140,45,2,7,10,8
Subway,Footlong BBQ Rib Sandwich,320,36,12,0,100,94,10,16,16,40
Chick Fil-A,Chicken Enchiladas Meal Kit,423,47,16,1,100,70,0,8,0,0
Arbys,Pecan Chicken Salad Sandwich,400,44,6,0.5,75,81,6,20,10,8
Subway,Footlong Subway Seafood Sensation,340,38,6,0,40,102,10,16,20,40
Mcdonalds,Single Bacon Smokehouse Burger,410,45,17,1.5,130,62,2,18,6,20
Burger King,Sourdough Chicken Club,459,51,12,1,95,62,3,7,0,0
Sonic,Footlong Quarter Pound Coney,490,54,22,1,85,54,3,9,15,4
Taco Bell,XXL Grilled Stuft Burrito - Chicken,320,35,11,0,85,91,10,6,0,0
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,468,52,14,0.5,110,57,0,9,0,0
Subway,Sausage Pizza,310,34,14,0,70,97,4,8,30,4
Taco Bell,XXL Grilled Stuft Burrito - Steak,320,36,12,1,70,91,10,7,0,0
Subway,Footlong Italian B.M.T.,300,32,12,0,90,92,10,16,16,40
Subway,"Turkey, Bacon & Guacamole Wrap",380,42,13,0.5,75,62,3,6,10,30
Sonic,Sonic Cheeseburger W/ Mayonnaise,480,54,18,2,130,44,2,7,10,8
Dairy Queen,1/2 lb. GrillBurger with Cheese,460,51,20,2,135,44,3,13,25,6
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,320,36,9,0.5,95,80,5,18,4,20
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",310,34,10,0.5,80,79,5,16,20,10
Subway,Pepperoni Pizza,290,32,13,0,60,96,4,8,30,4
Taco Bell,Fiesta Taco Salad-Beef,380,42,10,1,60,74,11,7,0,0
Dairy Queen,DQ Ultimate® Burger,430,48,22,2,150,34,1,7,20,6
Subway,Footlong Veggie Patty,140,14,2,0,20,112,16,16,30,20
Subway,Footlong Turkey & Bacon Avocado,220,26,7,0,60,98,16,14,20,400
Taco Bell,Spicy Triple Double Crunchwrap,340,38,10,0.5,50,87,9,8,20,10
Taco Bell,Cantina Power Burrito - Steak,250,28,7,0,50,98,13,7,0,0
Mcdonalds,Double Quarter Pounder® with Cheese,400,45,21,2.5,175,42,3,10,20,6
Burger King,Bacon & Cheese Whopper,432,48,16,2,95,47,2,9,0,0
Taco Bell,Nachos BellGrande®,360,39,6,0,30,82,13,5,0,0
Burger King,WHOPPER w/ Cheese,430,47,16,1,100,53,3,11,0,0
Dairy Queen,Chili Cheese Mega Dog,440,49,21,2,100,48,2,6,0,0
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,405,45,11,0,95,58,3,8,0,0
Subway,Footlong Sweet Onion Chicken Teriyaki,80,10,2,0,100,118,10,36,16,60
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,390,44,8,0.5,145,32,1,1,0,0
Taco Bell,Cantina Power Burrito - Chicken,240,27,6,0,60,96,12,7,0,0
Subway,Footlong Steak and Cheese,180,20,10,0,100,96,10,16,20,40
Subway,Chipotle Southwest Steak & Cheese Wrap,330,37,12,1,100,65,4,7,15,45
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,280,31,10,0.5,155,62,2,18,6,25
Arbys,Half Pound French Dip & Swiss,330,36,17,2,150,51,2,3,0,0
Sonic,Sonic Burger W/ Mayonnaise,430,48,15,2,110,44,2,7,6,8
Subway,Cheese & Veggies Pizza,230,25,11,0,50,100,5,9,35,30
Subway,Footlong Subway Melt (includes cheese),200,22,10,0,90,94,10,16,20,40
Sonic,Deluxe Ultimate Chicken Sandwich,350,39,8,0,90,63,4,12,10,8
Taco Bell,Cantina Power Burrito - Veggie,230,26,5,0,10,107,17,8,0,0
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,310,35,9,0.5,95,69,5,14,4,20
Arbys,Smoke Mountain w/ Beef Short Rib,320,35,13,1,125,62,4,17,0,0
Subway,Footlong Cold Cut Combo,240,26,8,0,100,92,10,14,20,40
Arbys,Half Pound Beef 'n Cheddar Sandwich,350,39,14,2,130,48,2,9,0,0
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,300,33,7,0,80,75,5,13,20,20
Sonic,Traditional Ultimate Chicken Sandwich,350,39,8,0,90,62,3,11,4,2
Burger King,Sourdough King Single,387,43,16,1.5,125,52,2,12,0,0
Subway,Rotisserie-Style Chicken Caesar Wrap,310,34,10,0.5,135,53,3,4,15,8
Burger King,Bacon King Jr,351,39,9,0,90,63,0,16,0,0
Burger King,Chicken Cordon Bleu Sandwich,351,39,9,0,90,63,0,16,0,0
Arbys,Turkey Avocado Club,252,28,6,0,65,80,6,16,0,0
Sonic,Sonic Cheeseburger W/ Ketchup,380,43,17,2,120,47,2,10,15,10
Taco Bell,Fiesta Taco Salad-Chicken,320,35,7,0,70,70,8,8,0,0
Arbys,Super Greek Salad,480,53,15,0,85,39,5,7,0,0
Taco Bell,Fiesta Taco Salad-Steak,320,36,8,1,55,70,8,8,0,0
Chick Fil-A,Chicken Parmesan Meal Kit,279,31,15,0,120,65,0,7,0,0
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,450,50,13,0,120,32,5,7,0,0
Arbys,Pecan Chicken Salad Flatbread,410,46,7,0.5,65,53,4,9,0,0
Sonic,Hatch Green Chile Cheeseburger,380,43,17,2,120,44,2,7,10,25
Sonic,Sonic Cheeseburger W/ Mustard,380,43,17,2,120,43,2,7,10,8
Arbys,Greek Gyro,390,44,13,0,75,55,4,6,0,0
Taco Bell,Nacho Fries Bellgrande,360,41,6,0,30,73,10,4,10,4
Arbys,Roast Turkey & Swiss Sandwich,260,28,7,0,65,79,5,15,20,10
Taco Bell,Smothered Burrito - Beef,320,35,13,1,75,70,10,4,0,0
Subway,Footlong Rotisserie Style Chicken,100,12,3,0,100,88,10,14,16,40
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",370,41,9,0,80,54,5,37,0,0
Burger King,Spicy Crispy Chicken Sandwich,378,42,7,0,65,57,3,8,0,0
